"Sr No
(link to coverage)",Test Written,Coverpoint Written,,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Normative Rules,Notes,Spec,,,,
cp_custom_allVdOverlapTopVs1_vd_vs1_lmul4,,,,Confirm that vs1 overlapping the top half of vd is legal with all legal vd registers,"Conduct an operation with lmul=4, vs1 overlapping the top half of the vd register group (if lmul is 4 and vd = v0 then vs1 must be v4). Execute with vd = {0,8,16,24}

The vd and vs1 registers must overlap in this manner to be legal",We expect this insturction not to trap,32,,,vreg_offgroup_LMUL4_rsv; vreg_overlap_legal,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_allVdOverlapTopVs2_vd_vs2_lmul1,,,,Confirm that with vs2 overlapping the top half of vd is legal with all legal vd registers,"Conduct an operation with lmul=1, vs2 overlapping the top half of the vd register group (if lmul is 1 and vd = v0 then vs2 must be v1). Execute with vd = {0,2,4,8..30}

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,32,,,EEW; EMUL; vreg_overlap_legal; vreg_overlap_rsv,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_allVdOverlapTopVs2_vd_vs2_lmul2,,,,Confirm that with vs2 overlapping the top half of vd is legal with all legal vd registers,"Conduct an operation with lmul=2, vs2 overlapping the top half of the vd register group (if lmul is 2 and vd = v0 then vs2 must be v2). Execute with vd = {0,4,8,...28}

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,32,,,EEW; EMUL; LMUL; vreg_lmulge2_op; vreg_overlap_legal,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
cp_custom_allVdOverlapTopVs2_vd_vs2_lmul4,,,,Confirm that with vs2 overlapping the top half of vd is legal with all legal vd registers,"Conduct an operation with lmul=4, vs2 overlapping the top half of the vd register group (if lmul is 4 and vd = v0 then vs2 must be v4). Execute with vd = {0,8,16,24}

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,32,,,,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,,,
All narrowing instructions,,,,,,,,,,,,,,,,
cp_custom_vdOverlapBtmVs2_vd_vs2_lmul1,,,,Confirm that vs1 overlapping the bottom half of vd is legal,"Conduct an operation with lmul=1, vd overlapping the bottom half of the vs2 register group (if lmul is 1 and vs2 = v0 then vd must be v0).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,vnarrowing_EEW; vnarrowing_EMUL; vnop_vd_eew_emul; vnop_vs2_eew_emul; vreg_overlap_legal,,"The destination EEW is smaller than the source EEW and the overlap is in the lowest-numbered part of the source register group (e.g., when LMUL=1, vnsrl.wi v0, v0, 3 is legal, but a destination of v1 is not).",,,,
cp_custom_vdOverlapBtmVs2_vd_vs2_lmul2,,,,Confirm that vs1 overlapping the bottom half of vd is legal,"Conduct an operation with lmul=2, vd overlapping the bottom half of the vs2 register group (if lmul is 2 and vs2 = v0 then vd must be v0).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,vnarrowing_EEW; vnarrowing_EMUL; vnop_vd_eew_emul; vnop_vs2_eew_emul; vreg_overlap_legal,,"The destination EEW is smaller than the source EEW and the overlap is in the lowest-numbered part of the source register group (e.g., when LMUL=1, vnsrl.wi v0, v0, 3 is legal, but a destination of v1 is not).",,,,
cp_custom_vdOverlapBtmVs2_vd_vs2_lmul4,,,,Confirm that vs1 overlapping the bottom half of vd is legal,"Conduct an operation with lmul=4, vd overlapping the bottom half of the vs2 register group (if lmul is 4 and vs2 = v0 then vd must be v0).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,1,,,EEW; EMUL; LMUL; vnarrowing_EEW; vnarrowing_EMUL; vreg_overlap_agn; vreg_overlap_legal,,"The destination EEW is smaller than the source EEW and the overlap is in the lowest-numbered part of the source register group (e.g., when LMUL=1, vnsrl.wi v0, v0, 3 is legal, but a destination of v1 is not).",,,,
Single narrowing instruction,,,,,,,,,,,,,,,,
cp_custom_allVdOverlapBtmVs2_vd_vs2_lmul1,,,,"Confrim that for all on-group vs2, vd can overlap the bottom most register","Conduct an operation with lmul=1, vd overlapping the bottom half of the vs2 register group (if lmul is 1 and vs2 = v0 then vd must be v0).

The vd and vs2 registers must overlap in this manner to be legal",We expect this insturction not to trap,32,,,vnarrowing_EEW; vnarrowing_EMUL; vnop_vd_eew_emul; vnop_vs2_eew_emul; vreg_overlap_legal,,"The destination EEW is smaller than the source EEW and the overlap is in the lowest-numbered part of the source register group (e.g., when LMUL=1, vnsrl.wi v0, v0, 3 is legal, but a destination of v1 is not).",,,,
